,emitterName,latentVector,completionPercentage,jumpActionsPerformed,killsTotal,livesLeft,coinsCollected,remainingTime (20-timeSpent),calc_higher_level_non_empty_blocks,calc_num_enemies
0,CMA-ES,"[ 0.26718195 -0.91195665  0.00890688  0.53078336 -0.1240937   0.55530032
  0.52204204  0.23703948  0.00980571  0.30638736 -0.12210837 -0.42712244
  1.02458289  0.45880869  0.65074401 -0.70771535 -0.79602333 -0.34055292
  0.14158778 -0.75096799  0.74163766  0.10856129 -0.11733827 -0.94838136
  0.59086679 -0.40558244 -0.25881796  0.36500258  0.78153583  0.68676953
  0.06860023 -0.71435721 -0.7427373   0.28468009  0.1760703  -0.08080493
  0.61110603  0.57897193  0.45200608 -0.33765402  0.1974949   0.48081911
 -0.96305659  0.51545728 -0.76272566 -0.24648009 -0.04788932 -0.73617387
 -1.15280036 -0.65559934  0.43164466  0.67902028  0.124128    0.70081671
 -1.07049308 -0.68991794  0.02354448 -0.27218416 -0.50793858  0.07478652
  0.07022323 -0.29333291  0.17977328 -0.43177125  0.35474666 -0.58689635
 -0.52885453 -0.07860075 -1.06752457 -0.16951711  0.27878988 -0.24797566
 -0.45762611 -0.27928856 -0.44927317  0.22541333  0.68581478 -0.54367183
  0.00906485 -1.0632541  -0.04058205  0.95911762  1.08888561 -0.69572946
  0.01977133 -0.47867179 -0.06393704  0.64499222  0.32596954 -0.35390109
 -0.92756477 -0.44503634 -0.13100236  0.33679865 -0.49698879 -1.28765443]",0.015325591899454594,0,0,0,0,19880,504,896
1,CMA-ES,"[ 0.50052913  0.22212002  0.44521675  0.21460754  0.50451566 -0.27714827
 -0.6763643   0.66486922  0.0590765   0.53658245 -0.81094825 -0.42832698
  0.31813801 -0.28073678  0.07082006 -0.12928877 -0.60499019  0.8164605
 -0.02308763 -0.04828912  0.05487499  0.64692884 -0.69284915 -0.63526127
 -0.5440752   0.15517031  0.09312479 -0.28102114 -0.4288991   0.63934201
  0.4557027  -0.50897517  0.9851533  -0.30788338  0.59000194  0.16920083
  0.19784045 -1.17695343  0.5526313   0.39563211  0.51040352 -0.03107058
 -0.35846662  0.88031481  1.00426996 -0.20557415  0.68699606 -0.20411286
 -0.05653023 -0.78869345  0.10331153 -0.30194372 -0.87491102  0.31356415
 -0.367503   -0.03094902  0.22252394 -0.91700349 -0.4172585   0.89742893
  0.41582993  0.07090584 -0.00203428  0.27301588  0.05674512  1.04011597
  0.3541429   0.39299584 -0.35622628  0.47335928  0.05701042 -0.26094641
  0.54497024  0.35913425 -0.13032767  1.04507028  0.12774374 -0.14886395
  0.01475986 -1.57703611  0.19894635  0.51319817  0.06165952 -0.44292872
  0.43866597 -0.64181587 -1.1041903   0.08841804  0.26082928  0.00297038
  0.31785687 -0.36152202 -0.20375838  0.33082485  0.73027781  0.28645021]",0.015325591899454594,0,0,0,0,19880,504,896
2,CMA-ES,"[ 0.3670984  -0.2425669   1.15071795 -0.71346506  0.06229568  0.22250535
  0.34594674  0.08484243 -0.3648859   0.48745535 -0.2363552  -0.01955596
  0.44514231  0.4636431   1.11778274 -0.82386731 -0.22574847  0.49437291
  0.77721439  0.21002082 -0.46355047  0.81371867 -0.24164085  0.16642861
  0.85326311  1.0901842   0.59866442  0.06314821  0.1822353   0.32574756
 -0.00220084 -0.00667183 -0.11008979  0.03982782 -0.57143347  0.58331132
  0.08127187 -0.62709622 -0.47401752  0.06303487  0.3206522   0.4266258
 -0.01092648 -0.23432158  0.7707982  -0.98019237  0.01843287 -0.50224445
 -0.29079221  1.321689   -0.57534533  0.6153378  -0.70068903  0.5159083
  0.22420355  0.65425956 -0.78627843  0.49809228 -0.18756997 -0.42318258
  0.07866361 -0.87681607  0.34707842 -0.2669475   0.04183776  0.13443882
  0.00451767 -0.02833558  0.00605328 -0.16891438  0.58776965 -0.05572645
  0.61426588  0.63296401 -0.25676039  1.26590352 -0.42847972  0.23217711
 -0.21899976  0.49553295  0.32848959 -0.41581462  0.3691981   0.02805921
 -0.56630925  0.5609496  -0.24225881  0.48297032  0.54145753 -0.78886847
 -0.06043574  0.00863569  0.68645913 -0.42088142  0.08130417 -0.71573237]",0.015325591899454594,0,0,0,0,19880,504,896
3,CMA-ES,"[-3.99650565e-01 -1.66358311e-01 -8.23857775e-01  2.20745541e-01
  1.82978489e-01 -1.84493965e-01  1.41915649e-02  2.75693184e-01
  1.70929946e-01  1.27669062e-01  6.56036990e-01 -1.49604195e-01
  1.14197635e-01 -1.18757515e-01 -9.20246499e-01  4.03662049e-01
 -3.73584324e-01 -7.67598760e-01 -3.06311106e-01  4.76666376e-01
 -8.19555478e-01  5.00500481e-01 -9.53414123e-01 -6.52743845e-01
 -3.94999565e-01  6.29363519e-01 -7.15249587e-01 -3.07596380e-02
  4.75606657e-01  1.98766532e-01 -6.00134548e-01 -1.84747097e-01
 -1.68629161e-01  8.15648050e-01 -1.98168627e-01 -2.21412374e-01
  4.96907844e-01 -1.25506368e-01 -5.89293294e-02 -2.39159322e-01
 -4.64730021e-02 -3.45352296e-01  3.88628518e-01  7.24403950e-01
 -1.88085005e-01 -1.18706307e-01 -1.55078275e+00  1.01410390e+00
  7.97075570e-01 -5.62456571e-01  7.51171150e-02 -1.52717196e-01
 -2.63608109e-01 -1.14944462e+00 -1.31530964e+00  2.52794625e-01
  6.13307112e-01  8.87998178e-01 -6.24280655e-03 -4.81095398e-02
 -3.54052282e-01 -1.43757359e-01 -4.61167158e-01  7.77820916e-01
 -3.27396355e-01 -6.55343851e-01 -6.12121421e-01 -5.68415153e-02
  1.48951050e-01  5.24651038e-02  1.14816993e-01  3.63156594e-01
  2.58907999e-01 -1.58969796e-02 -2.40830569e-01 -1.05897693e-01
 -1.47805068e-01 -6.92316883e-01 -8.51588198e-02 -5.82711293e-01
 -3.07952687e-01  8.06332073e-02  7.15118815e-01 -6.64939356e-05
  2.69035759e-01 -5.16231103e-01 -1.05690898e+00 -7.47385304e-01
  3.57369650e-01  3.01259338e-01 -2.35713366e-01  3.01447774e-01
 -4.43932827e-02 -2.74677800e-01  1.33555110e+00 -8.64294322e-01]",1.0,3,0,0,0,17000,1,0
4,CMA-ES,"[ 2.69444142e-01 -1.46832995e-01 -7.53392034e-01 -4.46988543e-01
 -4.73199114e-01  2.84195110e-03  3.14082465e-01  4.07800778e-01
 -3.06339149e-01 -6.62569418e-01  4.92214325e-01 -4.08631770e-01
  2.00722211e-02  4.29876081e-01 -1.54516188e-01  1.13169851e-01
 -9.36904057e-02  2.05011906e-01 -1.02090983e+00  7.06470260e-01
 -4.76788971e-01  1.71869265e-01  3.19113886e-01 -6.03896171e-02
 -2.41824147e-01  4.72823665e-01  7.24467744e-01  1.99069747e-02
 -1.48673132e+00 -1.48545727e-05 -1.84026796e-01  4.27331233e-01
  9.38663026e-01  2.84585218e-02  8.84442257e-01 -6.15801368e-02
  2.66145662e-02 -6.79335983e-01 -1.54578247e-02 -1.10889752e+00
  1.28365080e-01 -5.40309781e-01  5.80042832e-01 -2.41281815e-01
 -2.12042674e-01 -7.99097971e-02 -4.88090994e-01  7.91318494e-02
 -3.22456142e-01 -8.32656438e-01  6.27621328e-01  1.15965863e-01
  1.24655015e-01  5.52930453e-02  4.18285109e-01 -4.34335169e-01
  1.64977109e-01 -5.04213588e-01 -3.59345856e-01 -5.09474481e-01
  5.91108825e-01 -6.67466254e-01  2.73323808e-01  6.99319627e-01
 -4.02810278e-01 -2.30058546e-01 -2.03393144e-01 -1.13697848e-01
 -1.63075556e-01  3.70876997e-01 -1.45727316e+00 -3.11960126e-01
  3.40396024e-02 -8.41380567e-02  8.82498411e-02 -3.32727603e-01
 -1.07119651e+00 -7.44594078e-01 -2.36331791e-01  5.16199442e-01
 -6.42231340e-01  7.16374014e-02  1.13274700e+00 -3.24730164e-02
 -5.88612167e-02 -1.68344035e-01 -4.89035151e-01  3.50482178e-01
 -8.75318652e-01 -8.47650155e-01 -2.08437016e-02  9.75172420e-01
  1.19391005e-01  1.15913408e+00  3.06747428e-01 -5.67320352e-01]",0.015325591899454594,0,0,0,0,19880,503,895
5,CMA-ES,"[ 1.19265846e-01  3.89055727e-02  6.55303763e-01  6.10881041e-01
 -1.79720631e-01  2.44513045e-02  1.23208801e-01  3.34474774e-01
  4.65138996e-01  4.52458246e-01  4.34581615e-01 -2.63052027e-01
 -4.95292600e-01 -2.11991549e-01  4.78561860e-03 -6.96814395e-02
  9.99626610e-02  3.82292613e-02 -1.08577927e+00 -2.82408111e-01
 -5.33910044e-01 -6.98061941e-01  7.90282658e-01  2.15198509e-02
 -2.03141354e-01 -5.59882121e-04 -1.23821809e-01  5.96891049e-01
 -7.45683175e-01 -2.84674228e-01  5.76417082e-01  7.06681760e-01
  4.42693561e-03  1.81678783e-02  1.78309081e-01 -1.54309865e-01
 -1.67073017e-01 -2.66463471e-01 -7.90385145e-01 -1.78674178e-01
  2.74258437e-01  6.55246689e-01 -1.65168035e-01  4.36890648e-01
 -8.31414443e-01  3.03036176e-01  1.16493094e+00 -6.21875818e-01
  2.85729746e-01 -4.79860449e-01  2.25519551e-02  1.38890557e-01
  5.50228738e-03 -5.55234423e-01  2.92196065e-01  3.51557323e-01
 -4.34785601e-01  2.14792940e-01 -5.81642337e-01 -7.22822928e-01
  5.75980680e-01 -2.58687607e-01 -5.36301592e-01 -3.66570736e-01
  3.31648952e-01  7.97062646e-02 -3.16085678e-01 -2.58079015e-01
 -5.62499563e-02 -1.41367480e-01 -2.87953774e-01  8.45840079e-01
  6.41086591e-01 -8.37769868e-01 -3.44635450e-01 -6.53375796e-01
 -1.41042235e+00 -1.58664365e-01  3.46095828e-01 -8.56468839e-02
 -3.94229961e-01 -2.23209278e-01 -4.68182614e-02 -2.35701182e-01
  7.43421828e-01  1.27013341e-01  7.64591484e-01 -6.64289905e-01
  3.26558288e-01 -1.41411181e-01 -6.45761043e-01 -3.39680598e-02
 -8.79641019e-01 -8.25375596e-02  5.33968662e-01 -2.95072332e-01]",0.015325591899454594,0,0,0,0,19880,504,896
6,CMA-ES,"[ 0.40017747  0.12922199  0.48525543 -0.39648325 -0.40884369 -0.05118727
  0.42583618 -0.14319856  1.41814714 -0.35086509 -0.39633874 -0.07375128
 -0.57186051 -0.5233539   0.23047598 -0.01536489  0.70882588 -1.1817948
  0.09164388  0.2732413   0.01592161 -0.46534208 -0.30732279  0.45506282
  0.13617872  0.10031266  0.57784263 -0.77803395  0.76549512 -1.17208197
 -0.38265644 -0.24955698 -0.00673484 -0.38636861  0.64634101  0.05209509
  0.94465221 -0.83749924  0.24352496 -0.10668327  0.20318265  0.01258445
  1.12161387 -0.48728156  0.27963067 -0.4274353  -0.01681697  0.3434666
 -0.11748961 -1.15009658 -0.01264049 -0.66677797  0.37414565  0.3645163
  0.10912949 -0.17237651 -0.37029955 -0.68090289 -0.20879738  0.07491711
  0.00192507 -0.35309215 -1.39115485  0.42976251 -0.51701123  0.18879723
  0.2513883  -0.50796842 -0.08077348  0.82614542 -0.24381016 -0.72743539
 -0.02174813  0.12749045 -0.39370638 -0.73541231  0.51975283 -0.21963019
 -0.24606916 -0.63187965 -0.73881212  0.71991094 -0.68340316 -0.10248814
  0.17853653 -0.79705264 -0.29842878  0.65772245 -0.10166789 -0.57514384
  0.1812469  -0.65786057 -0.71307137 -1.02222981 -0.18770796 -0.17134027]",0.015325591899454594,0,0,0,0,19880,451,723
7,CMA-ES,"[-1.90497598e-01  2.14862393e-01  1.44900250e+00 -7.65589233e-01
  9.56238388e-02  1.96352516e-01 -1.15759520e+00  5.89492914e-02
 -9.37333461e-01  5.72879752e-04 -8.60192178e-01  8.30306294e-02
  2.98313325e-01  4.63192991e-02  8.28327685e-02 -2.29028717e-02
  1.01201646e+00  2.86856736e-01 -4.49060328e-01 -2.54325898e-01
 -2.96640096e-01 -5.02302673e-01  8.39598139e-01  1.17160510e+00
 -4.84408128e-01 -2.99209127e-01  7.97375022e-01  3.86828720e-01
 -3.38867163e-01  1.09528344e-01  3.47414187e-01 -1.93474332e-01
  2.82014729e-01  1.46679595e-01 -3.96527205e-01  1.08621051e+00
  1.65777746e-02 -1.00969445e+00  1.37080446e-01  4.14353615e-01
 -5.72899352e-01 -6.08597372e-01  1.74834246e-01 -4.36615215e-03
 -2.77838169e-01  8.28052622e-01  2.12119519e-01 -6.79946739e-01
 -1.51958655e-01 -5.70330940e-01 -7.80009683e-02  2.98443203e-01
 -9.62709824e-02 -2.67358491e-01 -9.22005453e-02 -1.05234196e-01
 -1.99872675e-01 -3.64587387e-02  6.13267976e-01  4.57463927e-01
 -3.18531708e-01 -6.90377901e-01 -3.45986229e-01 -1.90187695e-01
 -8.69658219e-01  1.79594956e-01 -1.81908287e-01  2.21150070e-01
 -4.25077098e-02  3.15418135e-01  1.58618877e-01 -5.68365741e-01
 -6.96681426e-01  5.55730813e-01 -6.84647351e-01  3.37658204e-01
 -4.15696057e-03  8.69343460e-01  3.64397675e-01  2.37510263e-01
  1.84490817e-01  4.59579974e-01 -7.90311405e-01 -1.66874854e-01
 -3.05935807e-01 -5.59218136e-01  1.66518745e-01 -3.88128619e-03
  9.74070100e-01  3.27364535e-01  3.71048923e-02  4.33560431e-01
 -5.53191204e-01  6.04127385e-01 -7.46107128e-02 -6.83956833e-02]",0.015325591899454594,0,0,0,0,19880,504,896
8,CMA-ES,"[-1.05667076 -0.23835705 -0.65148154  0.12204866  0.18920205  0.33715262
 -0.6348707   0.36629277 -0.4671336  -0.06173416 -0.58948068  0.40557609
 -0.31139128 -0.07867102  0.06670333  0.09678383 -0.1770931  -0.02219421
  1.12478508  0.75093636  0.39910371 -0.36278276 -0.64380156 -0.44525186
  0.40478792 -0.38986753 -0.46674184  0.11203215  0.20937426  0.15161062
  0.45505458 -0.01669299 -0.59371767 -0.32005306  0.7868577   0.05907321
  0.36229773 -0.5259358   0.38794378 -0.76390228 -0.31366271 -0.24490818
 -0.36357513 -0.55357567  0.97530647 -1.28220256 -0.15533649  0.75626902
 -0.04668857 -1.01890755 -0.4389827  -0.87193252  0.27215213 -0.1939807
  0.20599928 -0.41636221  0.34615971  0.73577181  0.09743291  0.981455
  0.0999268   0.60592864  0.30637465  0.62554505  0.85470927  0.72823579
  0.61499823 -0.07377588  0.76783017 -0.52942592 -0.24157229  0.66729744
 -0.21535643  0.20497435 -0.15739687 -0.194143   -0.32700312  0.30442697
  0.58280477 -0.80632868 -0.85663602 -0.00598426 -0.00799237 -0.02609729
  0.41194269  0.08849255  0.34056369  0.06786989 -0.43122867  0.32451639
  0.54490099  0.02799434 -0.46834429 -0.34477421  0.31017787  0.44385787]",0.015325591899454594,0,0,0,0,19880,504,896
9,CMA-ES,"[ 0.02991514 -0.2688318   0.38787216  0.98501623 -0.11180733 -0.60699353
  0.03593772 -0.9775815   0.4598399  -0.45577807  0.12039691  0.14844821
 -0.47024634 -0.27839591 -0.01368486  0.02429905 -1.03370091  0.31367619
 -0.08867187  0.67358508  0.1613401  -0.83783389 -0.90426453  0.24598466
 -0.18244362 -0.5764067   0.04201961  0.57574617  0.15665033  0.1316193
  0.29587273 -0.65799841 -0.3216148  -0.25016134 -0.04966762 -0.99809846
  0.49281891 -0.72229134 -0.46143321  0.16749066  0.59736822 -0.29277913
  1.19754546 -0.26957608 -0.0746965   0.68608803  0.18806153  0.13774798
  0.31606555 -0.04634221 -1.68432955 -0.11859229 -0.4659342  -1.08137799
 -0.20786528  0.55883014 -1.42079944  0.02802418  0.10752092 -0.19996975
  0.08833542  0.53456486  0.21228064 -0.39670465  0.51492539  0.25000933
 -0.46503029 -0.27596675 -0.58768275 -0.23705102 -0.6666919   0.03600021
  1.11283693 -0.86297607  0.14905573  0.02409524 -0.09672635 -1.5805671
  0.73723843  0.70129925 -0.60758801 -0.50778217  0.35755902 -0.18395858
 -0.62035606 -0.49283577  0.14749416 -0.52207238  0.19475528  0.27131808
 -0.7095858  -0.30428477  0.67754862 -0.28144353  0.47651316 -0.22064037]",0.015325591899454594,0,0,0,0,19880,169,455
